,chw_supply_temp,chw_return_temp,cw_supply_temp,cw_return_temp,outdoor_temp,outdoor_rh,total_power,ch_kw,chwp_kw,cwp_kw,ct_kw,chwp_freq,cwp_freq,ct_freq,chw_delta_t,cooling_load_approx,system_kw_per_rt,chiller_plr
2024-07-01 00:00:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:05:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:10:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:15:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:20:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:25:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:30:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:35:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:40:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:45:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:50:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:55:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:00:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:05:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:10:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:15:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:20:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:25:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:30:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:35:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:40:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:45:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:50:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:55:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:00:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:05:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:10:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:15:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:20:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:25:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:30:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:35:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:40:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:45:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:50:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:55:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:00:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:05:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:10:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:15:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:20:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:25:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:30:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:35:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:40:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:45:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:50:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:55:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:00:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:05:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:10:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:15:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:20:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:25:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:30:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:35:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:40:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:45:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:50:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:55:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:00:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:05:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:10:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:15:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:20:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:25:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:30:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:35:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:40:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:45:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:50:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:55:00,,,,,,,,,,,,,,,,,,
2024-07-01 06:00:00,7.059111233023534,7.618754576856199,25.165413429112235,25.47004934197516,28.501972827803943,84.16868586070684,83.06820725588663,54.56558193018133,9.36271232357855,14.529120592890632,2.6107924092361294,51.276856194763354,55.35715775879486,42.207368528676774,0.5596433438326649,2.3426670372835354,35.45881934302079,0.21826232772072532
2024-07-01 06:05:00,7.020331807838728,7.381442263607184,25.603605340738287,26.128080720702037,29.599883750297696,83.2495359615018,63.50647406450135,35.207271165956264,9.361732764736338,14.339322653208043,2.598147480600701,51.2750678792998,55.1150518009374,42.1391168195821,0.3611104557684559,1.5116083678467565,42.01251819938291,0.14082908466382504
2024-07-01 06:10:00,7.181360378751579,7.35457239997015,24.51239717706446,25.16458608231113,28.220609209496317,81.0988612766517,44.13388179568323,16.329088467431976,8.463131161323105,14.652574978145626,2.689087188782521,49.57901046773417,55.51350625037525,42.62513725718951,0.17321202121857127,0.7250655208209393,60.86881878718164,0.06531635386972791
2024-07-01 06:15:00,7.151855445807406,7.908022068040551,25.209205599232536,25.41562131924539,28.569059558566117,82.62350030391612,101.7367787830273,73.56459914803676,9.301081348575527,14.444055076913314,2.427043209501707,51.164096764738815,55.24891066363096,41.192991477919264,0.7561666222331445,3.1653134806679426,32.14113843838269,0.29425839659214703
2024-07-01 06:20:00,6.941211200174728,7.552002144982636,24.28164215141273,25.630748329650984,27.939174031068,83.59192878498658,86.66278192830161,58.303844968676,8.78603953623937,14.796669463355718,2.7762279600305395,50.20171437480044,55.694887586744294,43.080678755146735,0.6107909448079072,2.5567708949658994,33.89540380756621,0.233215379874704
2024-07-01 06:25:00,7.012785343016771,7.70826831575605,24.37673283434395,25.845875340056576,27.667731466316788,86.48702683568375,94.65880083295832,66.479234371455,8.8222194462605,14.877171244946965,2.4801757702958747,50.27052831889111,55.79570827544226,41.49142169129987,0.6954829727392795,2.911291723886624,32.51436469121247,0.26591693748581996
2024-07-01 06:30:00,7.0823981861269765,7.632934932891049,25.486734291466167,26.06100235046217,28.880246200103695,82.27361462356491,81.62273627232578,53.20977010472907,9.119993847508056,14.770300911915587,2.522671408173073,50.8298715808498,55.66178403934352,41.72705403490932,0.5505367467640729,2.304546821954409,35.418128846305784,0.21283908041891628
2024-07-01 06:35:00,6.845593631384392,7.0407618903059355,25.04630341380968,25.121033734714462,28.8387091411988,87.12510891754724,46.86543648724667,18.778961257110907,8.998424324648873,14.60879299675332,2.479257908733568,50.603006465603976,55.45815952572145,41.48630268851058,0.19516825892154355,0.8169743318455813,57.36463761520581,0.07511584502844362
2024-07-01 06:40:00,7.030192503588323,7.47518580522093,25.283470980818564,25.390276429654307,28.868281141975096,82.1595520929375,71.22752824915675,42.991571585034016,9.108961724155634,14.516034164315297,2.6109607756518107,50.809367631483546,55.3405326392974,42.20827580757752,0.4449933016326071,1.8627419606340931,38.2380006218952,0.17196628634013605
2024-07-01 06:45:00,7.08576039350254,7.72345880398659,25.059591797438156,25.397250659199777,29.073643310697857,79.60786052777351,90.1093417583546,61.79028926457233,9.19098832617028,14.58316808191086,2.5448960857011382,50.96142564310591,55.42571462906332,41.849234064413054,0.6376984104840497,2.669405546286232,33.75633270999897,0.2471611570582893
2024-07-01 06:50:00,6.848257059386075,7.430965736262949,24.83857265095975,25.5299069659505,28.696908969114624,80.65422262429672,84.51893557628317,56.30423150826349,9.152341374587234,14.544147024474254,2.518215668958185,50.88989649406228,55.376235168168975,41.70247236288611,0.5827086768768739,2.4392185214065942,34.6500056614627,0.22521692603305396
2024-07-01 06:55:00,7.144185409954262,7.819746817074615,25.261238359902567,25.902206478955243,28.69000419861174,82.67882632630837,93.08677693895794,64.75884975160812,8.974620921505373,14.75317318322898,2.600133082615461,50.558347260597024,55.64026047242832,42.14984885204678,0.6755614071203535,2.8279000502057996,32.91727970802348,0.2590353990064325
2024-07-01 07:00:00,6.877379596214692,7.391843122118476,25.752439657671346,26.405069452675093,29.079194588929095,84.15084136874384,77.80625635025106,49.44966741702936,9.087030532045071,14.536464368953052,2.733094032223579,50.76855780324577,55.366482986997454,42.856400033642196,0.5144635259037837,2.1535443194332387,36.129396385363364,0.19779866966811743
2024-07-01 07:05:00,6.826295138324982,7.326421704042977,25.37092572463304,25.981954974966577,29.101735737496288,78.76066194553488,76.21902610558996,47.84830444339305,9.000563952120933,14.660989827060655,2.709167883015332,50.60701690856214,55.5241311945152,42.730974976678176,0.500126565717995,2.093529804095527,36.406945798662306,0.19139321777357218
2024-07-01 07:10:00,7.0933375644539725,8.134648305076574,25.791475853628757,26.610568350734024,30.011108001892342,77.91502543849671,129.3617209501223,100.42586600581768,9.260844770482038,14.897442610838414,2.777567562984174,51.09021130777225,55.82103885003067,43.087606827512595,1.0413107406226016,4.35892676024621,29.67742475737661,0.40170346402327073
2024-07-01 07:15:00,6.989602848121029,8.059819050265824,25.917051241528977,26.456083738968797,29.244214402379978,85.61626542979144,131.57924017496535,102.76610345582723,9.182584528292695,15.026096364605154,2.604455826240263,50.94588868083054,55.98126795085973,42.17319408175035,1.0702162021447954,4.479925022178113,29.37085766470982,0.41106441382330894
2024-07-01 07:20:00,6.975599743793578,7.879916090682574,25.45564191704276,26.14396449299741,29.017799179685312,80.87944154110374,115.7531364832596,86.48150702171344,9.11259906270022,15.161419822652348,2.9976105761936074,50.81612970028116,56.14881979003654,44.196637916155744,0.9043163468889963,3.7854682280773386,30.578287680425543,0.34592602808685374
2024-07-01 07:25:00,7.035131152759199,8.052132709000858,25.41403120087292,25.972298916713537,29.127550902370203,78.37110310088285,124.11168371444352,95.61893208326131,8.700259128150245,14.866981903443945,2.9255105995879904,50.03780227194387,55.78296724739084,43.8394120747007,1.0170015562416594,4.257168514427587,29.15357550301985,0.3824757283330453
2024-07-01 07:30:00,6.906572346170571,8.078613929477928,25.651559847981005,26.723150676327823,29.42450226514388,81.10982308483788,140.40128582380078,111.46738026119552,9.047701504139752,15.03213862487446,2.854065433591036,50.69520910651571,55.988770632724034,43.479593103503625,1.1720415833073572,4.906166067724597,28.617312150812843,0.44586952104478206
2024-07-01 07:35:00,6.9091502681299675,7.820868291942839,25.340425148540103,26.154279160419524,29.36745875909048,80.49641261730049,116.92727563564102,87.89138585240164,9.468161058476827,14.70555233362365,2.8621763911389215,51.46864201457369,55.58033003278885,43.520742310143845,0.9117180238128713,3.816451647680679,30.63769344665998,0.35156554340960655
2024-07-01 07:40:00,6.98148053551405,7.931532743646968,25.98987673110583,26.851540899593545,29.90625680041026,80.6769962158313,118.03498665952252,89.03760142959877,8.741689685877809,15.22378168245035,3.0319138615955845,50.117103053602285,56.22569814234195,44.36458759781222,0.9500522081329175,3.9769185432443925,29.680011138279163,0.35615040571839507
2024-07-01 07:45:00,7.161856483546096,8.248944957995008,25.915391901142232,26.823013785814243,29.93560880612571,82.09004028159849,133.08891932458286,103.73584718305656,9.273466990465533,15.033343328859464,3.0462618222012936,51.11341218358088,55.99026627471719,44.43445984261973,1.0870884744489118,4.550552354043145,29.246761485192884,0.41494338873222625
2024-07-01 07:50:00,6.913475144882567,7.94011520334115,25.78079623165426,27.123419348185426,29.48750685142736,79.74213937552675,127.09981259775856,97.78072308902144,9.266392527395858,14.958211809644537,3.0944851716967334,51.10041122296772,55.89683704500269,44.667704175743445,1.0266400584585824,4.297515284707626,29.57518570091731,0.3911228923560857
2024-07-01 07:55:00,7.060685013065548,8.677188531081201,25.99961973426727,27.196306089663807,30.29806195249082,81.69907830393001,184.7932786563953,154.9984271998039,9.502421285421008,15.13077012333591,3.161660047834483,51.53064647925917,56.11095822141442,44.98860771329138,1.6165035180156533,6.7666837264135244,27.309282674918126,0.6199937087992156
2024-07-01 08:00:00,7.0117549647096515,8.188648315301704,26.22689568109776,27.47524592931649,30.437307403616497,81.65736601811751,143.82825712009304,113.2793529164739,9.66096307148014,15.504070048766046,3.3838710833729513,51.81565248883389,56.56866307368692,46.01881511362747,1.176893350592052,4.92647556557833,29.194960008536796,0.4531174116658956
2024-07-01 08:05:00,7.066419906103234,7.924223306950833,26.501298682999657,28.06640393167855,30.40184359056931,80.64620968715272,111.4441241660536,81.63014922730346,9.383918161105989,15.142942066017891,3.2871147116262662,51.31553974212387,56.12600033543559,45.57595552150714,0.8578034008475992,3.59076503594805,31.036317623224715,0.32652059690921387
2024-07-01 08:10:00,7.063030686919533,8.459263923620062,26.20908492860227,27.487199373672897,30.294619046749222,77.00127916099159,162.54127002292228,132.53338819894225,9.361209627574846,15.323123769659947,3.3235484267452127,51.27411277145817,56.347732485294195,45.74372210277419,1.396233236700529,5.844632328828414,27.810349886543587,0.530133552795769
2024-07-01 08:15:00,6.987853653480177,8.443818534689226,26.012082496374553,27.176518725547673,29.882654628503413,80.19531124132664,172.41155875072263,141.64315024443977,10.130131409394794,15.355992056763617,3.2822850401244343,52.641209242228435,56.38799257035354,45.553623394911014,1.4559648812090495,6.094668992741081,28.28891264744149,0.5665726009777591
2024-07-01 08:20:00,7.052128535918243,8.90427164269896,25.96884077811446,27.283397465885333,30.35012718256871,80.33140738996283,206.58972929370293,176.5909635257276,9.58582574996598,15.079759050716229,3.3331809672931167,51.68097211268408,56.04783072781458,45.78787202919773,1.8521431067807175,7.753071044984083,26.646180345188238,0.7063638541029104
2024-07-01 08:25:00,7.085632652221972,8.748963295052427,25.69587516469535,27.302327016021163,29.763412154980465,80.46750353859905,188.8686566647336,158.42779101703286,9.606985365247183,15.21414870441134,3.6197315780422255,51.71897078115319,56.33662903046625,47.064084822173434,1.6633306428304548,6.962702070888284,27.125770245780203,0.6337111640681314
2024-07-01 08:30:00,7.1657264605314115,8.72163324487937,25.84717862325492,27.139974324424987,29.877162056753463,81.99229808681842,178.04979385129815,147.5334787277829,9.528928433873554,15.55078993334991,3.4365967562918005,51.57851716839281,56.62542733311792,46.256597892897034,1.5559067843479593,6.513025799280557,27.33749248635955,0.5901339149111315
2024-07-01 08:35:00,6.899231123068975,8.707875121271233,25.900305376230033,27.843185415785932,30.337350514328527,78.90157171721165,203.53377385620416,172.68368064229196,9.779661759017388,15.521727475938045,3.548703978956744,52.02699896386808,56.59013008394098,46.754213290504865,1.8086439982022577,7.570983776474651,26.883398494214912,0.6907347225691678
2024-07-01 08:40:00,7.116565289089142,8.68876086368166,26.422334782081748,27.948572197195624,30.585562104229616,81.57229238191974,177.78379413575803,147.28738244286032,9.288016967415995,15.725343997647473,3.4830507278342493,51.14013035908432,56.83650867397685,46.46408927606476,1.5721955745925174,6.581210675244278,27.013843335012087,0.5891495297714413
2024-07-01 08:45:00,7.061794808999811,8.670512140026531,26.15667306626858,27.981938120504577,30.277764757082934,77.09359261668054,184.59440971341743,153.35872222184437,9.839172380301786,15.694489036570657,3.702026074700613,52.13231617098508,56.79931104583718,47.418082401601914,1.6087173310267202,6.73409074767785,27.411927850403863,0.6134348888873775
2024-07-01 08:50:00,6.919652163821322,8.894577564529019,26.278159248100913,27.840219481385255,30.563691946706797,79.08892827303792,219.3288251393228,187.8009555673661,9.818565892812025,15.84280883866857,3.866494840476155,52.09589661901042,56.9776764734826,48.11014223965244,1.974925400707697,8.26703772736242,26.530521859526964,0.7512038222694644
2024-07-01 08:55:00,7.044169762280133,8.67949603334885,26.45079706703064,28.18398699668188,30.38254082359453,77.97226448148147,187.1391529510705,155.44978768541156,9.860641337681468,16.063904865089704,3.764819062887778,52.17020599104384,57.24150565630006,47.68467923143582,1.635326271068716,6.845475770693645,27.337640102713838,0.6217991507416463
2024-07-01 09:00:00,7.04847127053516,8.923425623148399,26.435739277677992,28.008582226759067,30.590075056330367,79.83662414312747,208.61517525803873,177.13246289847376,9.732338077065576,15.791179825359222,3.959194457140177,51.942943867447255,56.91571560644538,48.49159174968286,1.8749543526132388,7.848558920039018,26.580061051131363,0.708529851593895
2024-07-01 09:05:00,6.946922177998856,8.602227386547177,25.774175416039313,27.80460248056907,30.14002014532824,78.04089811340339,189.44879930560785,157.41761114013397,9.98094215898956,16.09949948663515,3.950746519849163,52.38150959416949,57.28375330609156,48.45707752015715,1.655305208548321,6.929107602983272,27.341009861651184,0.6296704445605359
2024-07-01 09:10:00,7.0700989700214505,8.991208534464514,26.80280008168905,28.66848498521382,31.39059932605209,76.23259162672034,215.35855696148028,183.2233397665372,10.122452780383696,16.173949225498244,3.8388151890611626,52.62790521967122,57.37191760790034,47.99506277993597,1.9211095644430634,8.041764636758662,26.780012433724167,0.7328933590661488
