,chw_supply_temp,chw_return_temp,cw_supply_temp,cw_return_temp,outdoor_temp,outdoor_rh,total_power,ch_kw,chwp_kw,cwp_kw,ct_kw,chwp_freq,cwp_freq,ct_freq,chw_delta_t,cooling_load_approx,system_kw_per_rt,chiller_plr
2024-07-01 00:00:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:15:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:30:00,,,,,,,,,,,,,,,,,,
2024-07-01 00:45:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:00:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:15:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:30:00,,,,,,,,,,,,,,,,,,
2024-07-01 01:45:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:00:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:15:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:30:00,,,,,,,,,,,,,,,,,,
2024-07-01 02:45:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:00:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:15:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:30:00,,,,,,,,,,,,,,,,,,
2024-07-01 03:45:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:00:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:15:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:30:00,,,,,,,,,,,,,,,,,,
2024-07-01 04:45:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:00:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:15:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:30:00,,,,,,,,,,,,,,,,,,
2024-07-01 05:45:00,,,,,,,,,,,,,,,,,,
2024-07-01 06:00:00,7.059111233023534,7.618754576856199,25.165413429112235,25.47004934197516,28.501972827803943,84.16868586070684,83.06820725588663,54.56558193018133,9.36271232357855,14.529120592890632,2.6107924092361294,51.276856194763354,55.35715775879486,42.207368528676774,0.5596433438326649,2.3426670372835354,35.45881934302079,0.21826232772072532
2024-07-01 06:15:00,7.151855445807406,7.908022068040551,25.209205599232536,25.41562131924539,28.569059558566117,82.62350030391612,101.7367787830273,73.56459914803676,9.301081348575527,14.444055076913314,2.427043209501707,51.164096764738815,55.24891066363096,41.192991477919264,0.7561666222331445,3.1653134806679426,32.14113843838269,0.29425839659214703
2024-07-01 06:30:00,7.0823981861269765,7.632934932891049,25.486734291466167,26.06100235046217,28.880246200103695,82.27361462356491,81.62273627232578,53.20977010472907,9.119993847508056,14.770300911915587,2.522671408173073,50.8298715808498,55.66178403934352,41.72705403490932,0.5505367467640729,2.304546821954409,35.418128846305784,0.21283908041891628
