time,CHWS,CHWR,CHW_Flow,CHWP_Hz,CT_Hz,CWS,OA_Temp,RH,SYS_kW,CH_kW,CHWP_kW,CWP_kW,CT_kW
2024-07-11 00:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,28.0,65.0,428.0,280.0,32.0,28.0,20.0
2024-07-11 00:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,28.0,65.0,428.0,280.0,32.0,28.0,20.0
2024-07-11 00:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,28.0,65.0,428.0,280.0,32.0,28.0,20.0
2024-07-11 00:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,28.0,65.0,428.0,280.0,32.0,28.0,20.0
2024-07-11 01:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,29.035276180410083,65.0,429.0352761804101,280.0,32.0,28.0,20.0
2024-07-11 01:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,29.035276180410083,65.0,429.0352761804101,280.0,32.0,28.0,20.0
2024-07-11 01:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,29.035276180410083,65.0,429.0352761804101,280.0,32.0,28.0,20.0
2024-07-11 01:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,29.035276180410083,65.0,429.0352761804101,280.0,32.0,28.0,20.0
2024-07-11 02:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.0,65.0,430.0,280.0,32.0,28.0,20.0
2024-07-11 02:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.0,65.0,430.0,280.0,32.0,28.0,20.0
2024-07-11 02:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.0,65.0,430.0,280.0,32.0,28.0,20.0
2024-07-11 02:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.0,65.0,430.0,280.0,32.0,28.0,20.0
2024-07-11 03:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.82842712474619,65.0,430.8284271247462,280.0,32.0,28.0,20.0
2024-07-11 03:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.82842712474619,65.0,430.8284271247462,280.0,32.0,28.0,20.0
2024-07-11 03:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.82842712474619,65.0,430.8284271247462,280.0,32.0,28.0,20.0
2024-07-11 03:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.82842712474619,65.0,430.8284271247462,280.0,32.0,28.0,20.0
2024-07-11 04:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.464101615137753,65.0,431.46410161513774,280.0,32.0,28.0,20.0
2024-07-11 04:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.464101615137753,65.0,431.46410161513774,280.0,32.0,28.0,20.0
2024-07-11 04:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.464101615137753,65.0,431.46410161513774,280.0,32.0,28.0,20.0
2024-07-11 04:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.464101615137753,65.0,431.46410161513774,280.0,32.0,28.0,20.0
2024-07-11 05:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.863703305156275,65.0,431.86370330515626,280.0,32.0,28.0,20.0
2024-07-11 05:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.863703305156275,65.0,431.86370330515626,280.0,32.0,28.0,20.0
2024-07-11 05:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.863703305156275,65.0,431.86370330515626,280.0,32.0,28.0,20.0
2024-07-11 05:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.863703305156275,65.0,431.86370330515626,280.0,32.0,28.0,20.0
2024-07-11 06:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,32.0,65.0,432.0,280.0,32.0,28.0,20.0
2024-07-11 06:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,32.0,65.0,432.0,280.0,32.0,28.0,20.0
2024-07-11 06:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,32.0,65.0,432.0,280.0,32.0,28.0,20.0
2024-07-11 06:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,32.0,65.0,432.0,280.0,32.0,28.0,20.0
2024-07-11 07:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.863703305156275,65.0,431.86370330515626,280.0,32.0,28.0,20.0
2024-07-11 07:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.863703305156275,65.0,431.86370330515626,280.0,32.0,28.0,20.0
2024-07-11 07:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.863703305156275,65.0,431.86370330515626,280.0,32.0,28.0,20.0
2024-07-11 07:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.863703305156275,65.0,431.86370330515626,280.0,32.0,28.0,20.0
2024-07-11 08:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.464101615137753,65.0,431.46410161513774,280.0,32.0,28.0,20.0
2024-07-11 08:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.464101615137753,65.0,431.46410161513774,280.0,32.0,28.0,20.0
2024-07-11 08:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.464101615137753,65.0,431.46410161513774,280.0,32.0,28.0,20.0
2024-07-11 08:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,31.464101615137753,65.0,431.46410161513774,280.0,32.0,28.0,20.0
2024-07-11 09:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.82842712474619,65.0,430.8284271247462,280.0,32.0,28.0,20.0
2024-07-11 09:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.82842712474619,65.0,430.8284271247462,280.0,32.0,28.0,20.0
2024-07-11 09:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.82842712474619,65.0,430.8284271247462,280.0,32.0,28.0,20.0
2024-07-11 09:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.82842712474619,65.0,430.8284271247462,280.0,32.0,28.0,20.0
2024-07-11 10:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.0,65.0,430.0,280.0,32.0,28.0,20.0
2024-07-11 10:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.0,65.0,430.0,280.0,32.0,28.0,20.0
2024-07-11 10:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.0,65.0,430.0,280.0,32.0,28.0,20.0
2024-07-11 10:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,30.0,65.0,430.0,280.0,32.0,28.0,20.0
2024-07-11 11:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,29.035276180410083,65.0,429.0352761804101,280.0,32.0,28.0,20.0
2024-07-11 11:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,29.035276180410083,65.0,429.0352761804101,280.0,32.0,28.0,20.0
2024-07-11 11:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,29.035276180410083,65.0,429.0352761804101,280.0,32.0,28.0,20.0
2024-07-11 11:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,29.035276180410083,65.0,429.0352761804101,280.0,32.0,28.0,20.0
2024-07-11 12:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,28.0,65.0,428.0,280.0,32.0,28.0,20.0
2024-07-11 12:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,28.0,65.0,428.0,280.0,32.0,28.0,20.0
2024-07-11 12:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,28.0,65.0,428.0,280.0,32.0,28.0,20.0
2024-07-11 12:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,28.0,65.0,428.0,280.0,32.0,28.0,20.0
2024-07-11 13:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,26.964723819589917,65.0,426.9647238195899,280.0,32.0,28.0,20.0
2024-07-11 13:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,26.964723819589917,65.0,426.9647238195899,280.0,32.0,28.0,20.0
2024-07-11 13:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,26.964723819589917,65.0,426.9647238195899,280.0,32.0,28.0,20.0
2024-07-11 13:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,26.964723819589917,65.0,426.9647238195899,280.0,32.0,28.0,20.0
2024-07-11 14:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,26.0,65.0,426.0,280.0,32.0,28.0,20.0
2024-07-11 14:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,26.0,65.0,426.0,280.0,32.0,28.0,20.0
2024-07-11 14:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,26.0,65.0,426.0,280.0,32.0,28.0,20.0
2024-07-11 14:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,26.0,65.0,426.0,280.0,32.0,28.0,20.0
2024-07-11 15:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,25.171572875253812,65.0,425.1715728752538,280.0,32.0,28.0,20.0
2024-07-11 15:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,25.171572875253812,65.0,425.1715728752538,280.0,32.0,28.0,20.0
2024-07-11 15:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,25.171572875253812,65.0,425.1715728752538,280.0,32.0,28.0,20.0
2024-07-11 15:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,25.171572875253812,65.0,425.1715728752538,280.0,32.0,28.0,20.0
2024-07-11 16:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.535898384862247,65.0,424.53589838486226,280.0,32.0,28.0,20.0
2024-07-11 16:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.535898384862247,65.0,424.53589838486226,280.0,32.0,28.0,20.0
2024-07-11 16:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.535898384862247,65.0,424.53589838486226,280.0,32.0,28.0,20.0
2024-07-11 16:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.535898384862247,65.0,424.53589838486226,280.0,32.0,28.0,20.0
2024-07-11 17:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.136296694843725,65.0,424.13629669484374,280.0,32.0,28.0,20.0
2024-07-11 17:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.136296694843725,65.0,424.13629669484374,280.0,32.0,28.0,20.0
2024-07-11 17:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.136296694843725,65.0,424.13629669484374,280.0,32.0,28.0,20.0
2024-07-11 17:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.136296694843725,65.0,424.13629669484374,280.0,32.0,28.0,20.0
2024-07-11 18:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.0,65.0,424.0,280.0,32.0,28.0,20.0
2024-07-11 18:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.0,65.0,424.0,280.0,32.0,28.0,20.0
2024-07-11 18:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.0,65.0,424.0,280.0,32.0,28.0,20.0
2024-07-11 18:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.0,65.0,424.0,280.0,32.0,28.0,20.0
2024-07-11 19:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.136296694843725,65.0,424.13629669484374,280.0,32.0,28.0,20.0
2024-07-11 19:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.136296694843725,65.0,424.13629669484374,280.0,32.0,28.0,20.0
2024-07-11 19:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.136296694843725,65.0,424.13629669484374,280.0,32.0,28.0,20.0
2024-07-11 19:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.136296694843725,65.0,424.13629669484374,280.0,32.0,28.0,20.0
2024-07-11 20:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.535898384862247,65.0,424.53589838486226,280.0,32.0,28.0,20.0
2024-07-11 20:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.535898384862247,65.0,424.53589838486226,280.0,32.0,28.0,20.0
2024-07-11 20:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.535898384862247,65.0,424.53589838486226,280.0,32.0,28.0,20.0
2024-07-11 20:45:00,7.0,12.0,1000.0,50.0,42.0,28.0,24.535898384862247,65.0,424.53589838486226,280.0,32.0,28.0,20.0
2024-07-11 21:00:00,7.0,12.0,1000.0,50.0,42.0,28.0,25.17157287525381,65.0,425.1715728752538,280.0,32.0,28.0,20.0
2024-07-11 21:15:00,7.0,12.0,1000.0,50.0,42.0,28.0,25.17157287525381,65.0,425.1715728752538,280.0,32.0,28.0,20.0
2024-07-11 21:30:00,7.0,12.0,1000.0,50.0,42.0,28.0,25.17157287525381,65.0,425.1715728752538,280.0,32.0,28.0,20.0
